running EDF schedule: 
[441ms] : C
[442ms] : C
[443ms] : C
[444ms] : C
[445ms] : D
[446ms] : D
[447ms] : D
[448ms] : D
[449ms] : D
[450ms] : D
[451ms] : D
[452ms] : D
[453ms] : D
[454ms] : D
[455ms] : D
[456ms] : D
[457ms] : D
[458ms] : D
[459ms] : D
[460ms] : D
[461ms] : D
[462ms] : D
[463ms] : D
[464ms] : D
[465ms] : D
[466ms] : D
[467ms] : D
[468ms] : D
[469ms] : D
[470ms] : D
[471ms] : D
[472ms] : D
[473ms] : D
[474ms] : D
[475ms] : E
[476ms] : E
[477ms] : E
[478ms] : E
[479ms] : E
[480ms] : E
[481ms] : E
[482ms] : E
[483ms] : E
[484ms] : E
[485ms] : E
[486ms] : E
[487ms] : E
[488ms] : E
[489ms] : E
[490ms] : E
[491ms] : E
[492ms] : E
[493ms] : E
[494ms] : E
[495ms] : NONE
[496ms] : NONE
[497ms] : NONE
[498ms] : NONE
[499ms] : NONE
[500ms] : A
[501ms] : A
[502ms] : A
[503ms] : A
[504ms] : A
[505ms] : A
[506ms] : A
[507ms] : A
[508ms] : A
[509ms] : A
[510ms] : B
[511ms] : B
[512ms] : B
[513ms] : B
[514ms] : B
[515ms] : B
[516ms] : B
[517ms] : B
[518ms] : B
[519ms] : B
[520ms] : B
[521ms] : B
[522ms] : B
[523ms] : B
[524ms] : B
[525ms] : C
[526ms] : C
[527ms] : C
[528ms] : C
[529ms] : C
[530ms] : C
[531ms] : C
[532ms] : C
[533ms] : C
[534ms] : C
[535ms] : C
[536ms] : C
[537ms] : C
[538ms] : C
[539ms] : C
[540ms] : C
[541ms] : C
[542ms] : C
[543ms] : C
[544ms] : C
[545ms] : D
[546ms] : D
[547ms] : D
[548ms] : D
[549ms] : D
[550ms] : D
[551ms] : D
[552ms] : D
[553ms] : D
[554ms] : D
[555ms] : D
[556ms] : D
[557ms] : D
[558ms] : D
[559ms] : D
[560ms] : D
[561ms] : D
[562ms] : D
[563ms] : D
[564ms] : D
[565ms] : D
[566ms] : D
[567ms] : D
[568ms] : D
[569ms] : D
[570ms] : D
[571ms] : D
[572ms] : D
[573ms] : D
[574ms] : D
[575ms] : NONE
[576ms] : NONE
[577ms] : NONE
[578ms] : NONE
[579ms] : NONE
[580ms] : NONE
[581ms] : NONE
[582ms] : NONE
[583ms] : NONE
[584ms] : NONE
[585ms] : NONE
[586ms] : NONE
[587ms] : NONE
[588ms] : NONE
[589ms] : NONE
[590ms] : NONE
[591ms] : NONE
[592ms] : NONE
[593ms] : NONE
[594ms] : NONE
[595ms] : NONE
[596ms] : NONE
[597ms] : NONE
[598ms] : NONE
[599ms] : NONE
running RMA schedule: 
 End of Program Report
_______________________________________
# RMA Deadlines Missed: 0
# RMA Tasks Preempted:  0
# EDF Deadlines Missed: 0
# EDF Tasks Preempted:  0
